Etiqueta,Tupla,Longitud,Latitud,ND,NDC,NiDC,NoDC,NBC,NCC,NLRC,NKC,NCCO,NCCW,KNN,KNNW
v2727,32.47035295809:-116.97089106381,-116.97089106381,32.47035295809,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.003532273175160526,0.016028614478714984,1.0,0.016028614478714984,0.0,0.0,3.0,3.7720445697184566
v2728,32.47536513663:-116.83665991366,-116.83665991366,32.47536513663,6,0.0013452914798206279,0.0006726457399103139,0.0006726457399103139,0.0017101190404050207,0.017896970997852236,1.0,0.017896970997852236,0.0,0.0,3.3333333333333335,3.2077233073045646
v2729,32.481386167:-116.81929394737,-116.81929394737,32.481386167,6,0.0013452914798206279,0.0006726457399103139,0.0006726457399103139,0.043550391696687785,0.017537070196160055,1.0,0.017537070196160055,0.0,0.0,2.3333333333333335,2.1893220379578584
v2730,32.48021638814:-116.81578159869,-116.81578159869,32.48021638814,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.04151191357601807,0.016049047894457272,1.0,0.016049047894457272,0.0,0.0,3.0,3.0000000000000004
v2731,32.53218802141:-117.03340800762,-117.03340800762,32.53218802141,3,0.0006726457399103139,0.0002242152466367713,0.0004484304932735426,0.02064446889435593,0.013986968396671679,1.0,0.013986968396671679,0.0,0.0,2.0,2.0
v2732,32.49718465808:-117.09282562405,-117.09282562405,32.49718465808,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0042182568560393255,0.01567841247898506,1.0,0.01567841247898506,0.0,0.0,2.5,2.1840264777904905
v2733,32.49729324472:-117.09218323499,-117.09218323499,32.49729324472,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0037792964692433284,0.01569441220476271,1.0,0.01569441220476271,0.0,0.0,2.0,2.0
v2734,32.49753530083:-117.0917232348,-117.0917232348,32.49753530083,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0033415764149771297,0.015696028311789977,1.0,0.015696028311789977,0.0,0.0,2.0,2.0
v2735,32.49843339874:-117.09061146319,-117.09061146319,32.49843339874,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0029119017609041996,0.015696191464488498,1.0,0.015696191464488498,0.0,0.0,2.0,2.0
v2736,32.49852614629:-117.08994895488,-117.08994895488,32.49852614629,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.002491441604240146,0.015696207876447012,1.0,0.015696207876447012,0.0,0.0,2.0,2.0
v2737,32.50033814385:-117.09027886927,-117.09027886927,32.50033814385,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0020743655440323932,0.015696209508852983,1.0,0.015696209508852983,0.0,0.0,2.0,2.0
v2738,32.5003200467:-117.09076166689,-117.09076166689,32.5003200467,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0016744069107983628,0.015696209659536612,1.0,0.015696209659536612,0.0,0.0,2.0,2.0
v2739,32.50063334972:-117.09073081747,-117.09073081747,32.50063334972,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0013082126607110599,0.01569620967209358,1.0,0.01569620967209358,0.0,0.0,2.0,2.0
v2740,32.50138211312:-117.08981148966,-117.08981148966,32.50138211312,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0009820739679432331,0.01569620967209358,1.0,0.01569620967209358,0.0,0.0,2.0,2.0
v2741,32.50142056968:-117.08940714732,-117.08940714732,32.50142056968,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0006901532067066143,0.01569620967209358,1.0,0.01569620967209358,0.0,0.0,2.0,2.0
v2742,32.50173500331:-117.08915233746,-117.08915233746,32.50173500331,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0004201198848619252,0.01569620967209358,1.0,0.01569620967209358,0.0,0.0,2.0,2.0
v2743,32.5019238903:-117.08839863807,-117.08839863807,32.5019238903,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0004212970633946708,0.01569620967209358,1.0,0.01569620967209358,0.0,0.0,2.0,2.0
v2744,32.5024577452:-117.0883181718,-117.0883181718,32.5024577452,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0007699583088025013,0.01569620968465055,1.0,0.01569620968465055,0.0,0.0,2.0,2.0
v2745,32.50368209155:-117.08889886804,-117.08889886804,32.50368209155,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0012054407361399816,0.01569620982277721,1.0,0.01569620982277721,0.0,0.0,2.0,2.0
v2746,32.50469040063:-117.08818674356,-117.08818674356,32.50469040063,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0016423059666356684,0.01569621134217046,1.0,0.01569621134217046,0.0,0.0,2.0,2.0
v2747,32.50752920698:-117.08931326933,-117.08931326933,32.50752920698,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0020789700621264957,0.015696226548659948,1.0,0.015696226548659948,0.0,0.0,2.0,2.0
v2748,32.50777802423:-117.08883852035,-117.08883852035,32.50777802423,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0025154330226125174,0.015696377960592436,1.0,0.015696377960592436,0.0,0.0,2.0,2.0
v2749,32.50542781961:-117.08787426487,-117.08787426487,32.50542781961,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.002951694848093709,0.015697877739858666,1.0,0.015697877739858666,0.0,0.0,2.0,2.0
v2750,32.50609737712:-117.0862126404,-117.0862126404,32.50609737712,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0033877555385700784,0.015712727360286487,1.0,0.015712727360286487,0.0,0.0,2.0,2.0
v2751,32.50415656577:-117.08549113154,-117.08549113154,32.50415656577,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0038256767278411507,0.01585972702499647,1.0,0.01585972702499647,0.0,0.0,2.5,2.5767535370947914
v2752,32.49834290878:-116.91477120191,-116.91477120191,32.49834290878,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.0807291187362778,0.013967821706102198,1.0,0.013967821706102198,0.0,0.0,1.0,1.0
v2753,32.49848995125:-116.9131028679,-116.9131028679,32.49848995125,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.08072911873627778,0.013953751170260473,1.0,0.013953751170260473,0.0,0.0,1.0,1.0
v2754,32.49616212637:-116.8901163353,-116.8901163353,32.49616212637,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0035360613016173397,0.016063340035688323,1.0,0.016063340035688323,0.0,0.0,3.0,3.098249493552853
v2755,32.49579564247:-116.88796788722,-116.88796788722,32.49579564247,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0031945843471632485,0.015733292536304736,1.0,0.015733292536304736,0.0,0.0,2.0,2.0
v2756,32.49448805469:-116.8860125649,-116.8860125649,32.49448805469,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.002858703974218776,0.01569995341939522,1.0,0.01569995341939522,0.0,0.0,2.0,2.0
v2757,32.493094466:-116.88473582536,-116.88473582536,32.493094466,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0025447540213011407,0.01569658697134183,1.0,0.01569658697134183,0.0,0.0,2.5,2.4659594923729693
v2758,32.49159263243:-116.88433693568,-116.88433693568,32.49159263243,5,0.0011210762331838565,0.0004484304932735426,0.0006726457399103139,0.00366121236785661,0.01569624738067156,1.0,0.01569624738067156,0.0,0.0,2.3333333333333335,2.379045162233062
