,Arista,Angulo1,Angulo2,Dist
1803,"('v735', 'v734')",-86.70520966175143,93.29284264604394,341.65284517095296
1804,"('v734', 'v733')",-178.5249871378911,1.474992975077754,135.30164262564824
1805,"('v733', 'v732')",-158.5713256795912,21.428225827533737,215.00081918774106
1806,"('v732', 'v731')",-123.92667849075883,56.072001642021945,278.6073095067855
1807,"('v731', 'v730')",163.6188171034646,-16.380888124511102,183.07656125982896
1808,"('v730', 'v757')",-93.42121142789794,86.57754257083687,218.64527404980595
1809,"('v757', 'v758')",-106.1689102524677,73.82636646634994,861.4741047009406
1810,"('v758', 'v759')",-116.62864621999616,63.37059658655414,148.38617807145295
1811,"('v759', 'v760')",-125.37906975415,54.620387551557116,116.60500998956945
1812,"('v760', 'v761')",-105.14682828669223,74.85281184022409,65.31470524769705
1813,"('v761', 'v762')",-65.21025000452853,114.78888119804725,167.6497739354049
1814,"('v762', 'v763')",-59.807993399088105,120.18973144130027,461.10330322349307
1815,"('v763', 'v764')",-50.92951497030691,129.0692195958148,285.50492792292016
1816,"('v764', 'v765')",-90.05126865356397,89.94562311846917,544.4361809854043
1817,"('v765', 'v766')",-71.62738292409874,108.37232270392558,54.33132697015122
1818,"('v766', 'v767')",-57.76727941379177,122.23158995863466,234.1130479692371
1819,"('v767', 'v768')",-56.775784362037264,123.22165545047429,536.0099734464505
1820,"('v768', 'v769')",-32.09390324803576,147.90569503771798,132.4121838174303
1821,"('v769', 'v770')",-10.492098298406688,169.50775738969384,138.78117069744502
1822,"('v770', 'v771')",-10.492003423965942,169.50766714979628,316.77648210830995
1823,"('v771', 'v772')",-28.01140507334476,151.9866723555298,716.6928948155884
1824,"('v772', 'v707')",-122.34468732515282,57.65519115535949,25.1801806696136
1825,"('v707', 'v1196')",-118.58338262435089,61.41431215986378,459.58806713035744
1826,"('v1196', 'v1197')",-9.635252743934643,170.3644541713896,306.5462068133408
1827,"('v1197', 'v1198')",-7.914576469998706,172.08480847944193,781.7913719572039
1828,"('v1198', 'v1189')",-30.28658989409277,149.713109915316,104.1690958735981
1829,"('v1189', 'v1266')",-131.28174262399097,48.71662365045529,380.4847028430237
1830,"('v1266', 'v1267')",-97.40715585179966,82.5925243610952,56.4399713950292
1831,"('v1267', 'v1268')",-34.78066206210882,145.2179996751151,410.57106010622505
1832,"('v1268', 'v1269')",-26.573004646477244,153.42519734341255,703.2854491783212
1833,"('v1269', 'v1270')",-32.9215518115543,147.0781427303868,98.33160649479389
1834,"('v1270', 'v1271')",-1.444974081075161,178.55501727373002,59.97999774323843
1835,"('v1271', 'v1272')",78.95776322590055,-101.04194283504111,52.39525180810601
1836,"('v1272', 'v1273')",128.56940318775793,-51.4303648315622,51.90962325777537
1837,"('v1273', 'v1154')",-159.3536426119716,20.646262291251304,47.18591004316443
1838,"('v1154', 'v1155')",-110.09492783004438,69.90375524469736,245.34425808813964
1839,"('v1155', 'v1156')",-131.16105635812158,48.838576234752566,85.38467654593643
1840,"('v1156', 'v1157')",-154.3056515883184,25.693989657701735,144.77746405044914
1841,"('v1157', 'v1158')",-136.19645312306093,43.802881978825326,168.07903929398276
1842,"('v1158', 'v1098')",-154.26042334376112,25.739503899772842,29.315133363389805
1843,"('v1098', 'v1181')",142.15121870482506,-37.84780200278277,279.29026681715106
